Country,Capital,Population,Area (sq km),Official Language,Currency,
China,Beijing,1403500365,9706961,Mandarin, Renminbi (CNY),
India,New Delhi,1393409038,3287263,Hindi,Indian Rupee (INR),
Japan,Tokyo,126476461,377975,Japanese,Japanese Yen (JPY),
South Korea,Seou,51330615,100210,Korean,South Korean Won (KRW),
Saudi Arabia,Riyadh,35027518,2149690,Arabic,Saudi Riyal (SAR),
Indonesia,Jakarta,273523621,1910931,Bahasa Indonesia,Indonesian Rupiah (IDR),
Thailand,Bangkok,69950889,513120,Thai,Thai Baht (THB),
Vietnam,Hanoi,97338579,331212,Vietnamese,Vietnamese Dong (VND),
Malaysia,Kuala Lumpur,32722760,330803,Malay,Malaysian Ringgit (MYR),
Turkey,Ankara,84339067,783356,Turkish,Turkish Lira (TRY),
